"Sex";"Periods";"Regions";"Population on 1 January (number)";"Population density (number)";"Live born children/Live born children (number)";"Live born children/Live born children, ratio (per 1,000)";"Deaths/Deaths (number)";"Deaths/Deaths, ratio (per 1,000)";"Natural increase (number)";"Arrivals in municipality/Total arrivals (number)";"Arrivals in municipality/Total arrivals, ratio (per 1,000)";"Arrivals in municipality/Due to immigration (number)";"Arrivals in municipality/Due to intermunicipal moves (number)";"Departures from municipality/Total departures including administra... (number)";"Departures from municipality/Total departures including adm..., ratio (per 1,000)";"Departures from municipality/Due to emigration including administr... (number)";"Departures from municipality/Due to intermunicipal moves (number)";"Net migration including administrative.. (number)";"Population growth/Population growth (number)";"Population growth/Population growth, ratio (per 1,000)";"Population on 31 December (number)"
"Total male and female";"1970";"Utrecht (PV)";801285;;15111;18,7;6580;8,2;8531;53534;66,4;6088;47446;50914;63,2;4282;46632;2620;11043;13,8;810876
"Total male and female";"1980";"Utrecht (PV)";895464;;11606;12,9;6997;7,8;4609;54449;60,4;8822;45627;46820;51,9;4203;42617;7629;12265;13,7;907729
"Total male and female";"1990";"Utrecht (PV)";1015515;;14149;13,9;8297;8,1;5852;53965;52,8;7504;46461;48503;47,5;4627;43876;5462;11326;11,2;1026841
"Total male and female";"2000";"Utrecht (PV)";1107849;813;16080;14,4;9124;8,2;6956;63401;57;8190;55211;60376;54,2;5710;54666;3025;10148;9,2;1117997
"Total male and female";"2010";"Utrecht (PV)";1220910;882;15429;12,6;8768;7,2;6661;59642;48,7;9434;50208;58420;47,7;8128;50292;1222;7884;6,5;1228794
"Total male and female";"2020";"Utrecht (PV)";1354834;912;14776;10,9;11179;8,2;3597;81545;60;11847;69698;78787;58;8888;69899;2758;6319;4,7;1361153
"Total male and female";"2023";"Utrecht (PV)";1387643;935;14070;10,1;11557;8,3;2513;91748;65,8;16902;74846;81825;58,7;11255;70570;9923;12414;8,9;1400057
"Total male and female";"1950";"Noord-Holland (PV)";1842604;;38146;20,5;14314;7,7;23832;94724;51;;;86603;46,6;;;8121;31953;17,3;1874557
"Total male and female";"1960";"Noord-Holland (PV)";2054509;;38694;18,7;16998;8,2;21696;103979;50,4;10609;93370;107011;51,9;14017;92994;-3032;18610;9,1;2073119
"Total male and female";"1970";"Noord-Holland (PV)";2244456;;36691;16,3;20915;9,3;15776;133224;59,2;18761;114463;133255;59,2;11937;121318;-31;15499;6,9;2259955
"Total male and female";"1980";"Noord-Holland (PV)";2307646;;27360;11,8;20103;8,7;7257;110282;47,7;24946;85336;109549;47,4;12399;97150;733;8030;3,5;2315676
"Total male and female";"1990";"Noord-Holland (PV)";2376015;;31372;13,1;21743;9,1;9629;118163;49,5;29388;88775;106723;44,7;14809;91914;11440;21073;8,9;2397088
"Total male and female";"2000";"Noord-Holland (PV)";2518354;948;33618;13,3;22457;8,9;11161;118027;46,7;26784;91243;113573;45;16314;97259;4454;16245;6,5;2534599
"Total male and female";"2010";"Noord-Holland (PV)";2669084;1001;31593;11,8;20974;7,8;10619;138071;51,5;34971;103100;126189;47,1;29006;97183;11882;22393;8,4;2691477
"Total male and female";"2020";"Noord-Holland (PV)";2879527;1081;29031;10,1;25481;8,8;3550;192708;66,8;52621;140087;187191;64,9;37097;150094;5517;8959;3,1;2888486
"Total male and female";"2023";"Noord-Holland (PV)";2952622;1109;27545;9,3;26077;8,8;1468;220492;74,4;77061;143431;197779;66,7;47330;150449;22713;23865;8,1;2976487
"Total male and female";"1950";"Zuid-Holland (PV)";2382898;;50825;21,1;17153;7,1;33672;100443;41,8;;;92432;38,5;;;8011;41683;17,5;2424581
"Total male and female";"1960";"Zuid-Holland (PV)";2697894;;52036;19,2;20389;7,5;31647;119497;44,1;14043;105454;122611;45,2;18716;103895;-3114;28310;10,5;2726204
"Total male and female";"1970";"Zuid-Holland (PV)";2968670;;52061;17,5;26094;8,7;25967;165511;55,5;25848;139663;164213;55,1;16668;147545;1298;27106;9,1;2997228
"Total male and female";"1980";"Zuid-Holland (PV)";3083555;;39581;12,8;26819;8,7;12762;151336;48,9;34730;116606;140971;45,5;18506;122465;10365;23142;7,5;3106697
"Total male and female";"1990";"Zuid-Holland (PV)";3219839;;44043;13,6;29168;9;14875;147815;45,7;36118;111697;137140;42,4;20022;117118;10675;25608;8;3245447
"Total male and female";"2000";"Zuid-Holland (PV)";3397744;1185;44022;12,9;31051;9,1;12971;169055;49,6;33957;135098;159476;46,8;19292;140184;9579;22956;6,8;3420700
"Total male and female";"2010";"Zuid-Holland (PV)";3505611;1247;41387;11,8;28723;8,2;12664;172235;49;42268;129967;161975;46,1;33263;128712;10260;22713;6,5;3528324
"Total male and female";"2020";"Zuid-Holland (PV)";3708696;1374;38598;10,4;34734;9,3;3864;223529;60,1;53501;170028;209833;56,4;40433;169400;13696;17354;4,7;3726050
"Total male and female";"2023";"Zuid-Holland (PV)";3804906;1410;37427;9,8;33760;8,8;3667;253221;66,2;73897;179324;221139;57,8;47726;173413;32082;35554;9,3;3840460
"Total male and female";"1950";"Zeeland (PV)";268609;;5485;20,3;2280;8,4;3205;13068;48,4;;;13213;48,9;;;-145;3060;11,4;271669
"Total male and female";"1960";"Zeeland (PV)";283721;;5392;19;2568;9;2824;12483;44;642;11841;15163;53,4;837;14326;-2680;193;0,7;283914
"Total male and female";"1970";"Zeeland (PV)";305754;;5530;18;3001;9,7;2529;16495;53,5;1705;14790;14454;46,9;1050;13404;2041;4564;14,9;310318
"Total male and female";"1980";"Zeeland (PV)";348268;;4654;13,3;3217;9,2;1437;16479;47,1;2162;14317;14552;41,6;1479;13073;1927;3394;9,7;351662
"Total male and female";"1990";"Zeeland (PV)";355947;;4504;12,6;3351;9,4;1153;16029;44,9;2150;13879;15667;43,9;1600;14067;362;1507;4,2;357454
"Total male and female";"2000";"Zeeland (PV)";371866;206;4489;12;3712;9,9;777;17337;46,4;3242;14095;15106;40,5;1440;13666;2231;3054;8,2;374920
"Total male and female";"2010";"Zeeland (PV)";381409;214;3697;9,7;3750;9,8;-53;14411;37,8;3059;11352;14218;37,3;2067;12151;193;121;0,3;381530
"Total male and female";"2020";"Zeeland (PV)";383488;215;3424;8,9;4139;10,8;-715;19001;49,4;3989;15012;16363;42,6;2532;13831;2638;1912;5;385400
"Total male and female";"2023";"Zeeland (PV)";391124;220;3359;8,6;4419;11,3;-1060;20207;51,6;5318;14889;18629;47,6;3714;14915;1578;510;1,3;391634
"Total male and female";"1950";"Noord-Brabant (PV)";1242638;;33557;26,7;8805;7;24752;53448;42,6;;;53594;42,7;;;-146;24606;19,8;1267244
"Total male and female";"1960";"Noord-Brabant (PV)";1484671;;35677;23,8;10027;6,7;25650;70040;46,7;4312;65728;68067;45,4;5641;62426;1973;28116;18,9;1512787
"Total male and female";"1970";"Noord-Brabant (PV)";1787783;;35335;19,6;12415;6,9;22920;98246;54,5;12767;85479;89402;49,6;7767;81635;8844;31676;17,7;1819459
"Total male and female";"1980";"Noord-Brabant (PV)";2051195;;26924;13,1;13815;6,7;13109;85030;41,2;13336;71694;77518;37,6;7908;69610;7512;20690;10,1;2071885
"Total male and female";"1990";"Noord-Brabant (PV)";2189481;;28974;13,2;16207;7,4;12767;91202;41,5;12293;78909;84513;38,4;8946;75567;6689;19566;8,9;2209047
"Total male and female";"2000";"Noord-Brabant (PV)";2356004;478;30476;12,9;19156;8,1;11320;95701;40,5;16378;79323;88481;37,4;12026;76455;7220;19112;8,1;2375116
"Total male and female";"2010";"Noord-Brabant (PV)";2444158;497;25545;10,4;19503;8;6042;96886;39,6;18886;78000;92816;37,9;13871;78945;4070;10057;4,1;2454215
"Total male and female";"2020";"Noord-Brabant (PV)";2562955;522;23413;9,1;26555;10,3;-3142;144060;56,1;33837;110223;129881;50,6;19695;110186;14179;10994;4,3;2573949
"Total male and female";"2023";"Noord-Brabant (PV)";2626210;536;23425;8,9;26071;9,9;-2646;166006;63;56000;110006;144833;55;26592;118241;21173;18529;7,1;2644739
"Total male and female";"1950";"Limburg (PV)";727874;;19418;26,4;5101;6,9;14317;39621;53,8;;;36695;49,8;;;2926;17243;23,7;745117
"Total male and female";"1960";"Limburg (PV)";882386;;20622;23,2;6086;6,9;14536;40335;45,4;3862;36473;42796;48,2;4977;37819;-2461;11954;13,5;894340
"Total male and female";"1970";"Limburg (PV)";998570;;17291;17,2;7326;7,3;9965;54961;54,7;8273;46688;51116;50,8;4419;46697;3845;13787;13,8;1012357
"Total male and female";"1980";"Limburg (PV)";1069038;;12349;11,5;8032;7,5;4317;44684;41,7;6165;38519;44666;41,7;5254;39412;18;4365;4,1;1073403
"Total male and female";"1990";"Limburg (PV)";1103960;;13690;12,4;9519;8,6;4171;46125;41,7;7831;38294;44435;40,1;5153;39282;1690;5878;5,3;1109838
"Total male and female";"2000";"Limburg (PV)";1141192;527;12235;10,7;10670;9,3;1565;48341;42,3;8602;39739;48818;42,8;7780;41038;-477;1487;1,3;1142679
"Total male and female";"2010";"Limburg (PV)";1122701;522;9620;8,6;10690;9,5;-1070;45683;40,7;10697;34986;44639;39,8;7646;36993;1044;-74;-0,1;1122627
"Total male and female";"2020";"Limburg (PV)";1117201;520;8652;7,7;13625;12,2;-4973;62695;56,2;15044;47651;59004;52,8;12868;46136;3691;-1329;-1,2;1115872
"Total male and female";"2023";"Limburg (PV)";1128367;526;8781;7,8;13234;11,7;-4453;69141;61,1;21955;47186;59766;52,9;15247;44519;9375;4888;4,3;1133255
"Total male and female";"1950";"Amsterdam";835834;;15210;18,1;6294;7,5;8916;30892;36,8;;;30376;36,1;;;516;9432;11,3;845266
"Total male and female";"1960";"Amsterdam";869602;;13878;16;7490;8,6;6388;27588;31,8;4694;22894;37215;42,9;6559;30656;-9627;-3260;-3,7;866342
"Total male and female";"1970";"Amsterdam";831463;;10664;12,9;9019;10,9;1645;31979;38,7;8874;23105;44523;53,9;5009;39514;-12544;-11057;-13,3;820406
"Total male and female";"1980";"Amsterdam";716919;;7781;10,9;7799;10,9;-18;32188;45;14004;18184;36824;51,5;4999;31825;-4636;-4625;-6,5;712294
"Total male and female";"1990";"Amsterdam";695162;;9392;13,4;7571;10,8;1821;41452;59,3;17969;23483;35762;51,2;7510;28252;5690;7511;10,8;702673
"Total male and female";"2000";"Amsterdam";731288;4429;10715;14,6;6666;9,1;4049;35255;48,1;13737;21518;36339;49,6;7651;28688;-1084;3306;4,5;734594
"Total male and female";"2010";"Amsterdam";767457;4625;11459;14,8;5406;7;6053;51417;66,5;19455;31962;45052;58,2;16559;28493;6365;12351;16,1;779808
"Total male and female";"2020";"Amsterdam";872757;5273;10345;11,8;5763;6,6;4582;69363;79,4;30917;38446;73310;84;21060;52250;-3947;581;0,7;873338
"Total male and female";"2023";"Amsterdam";918117;4880;9673;10,5;5977;6,5;3696;89014;96,3;45956;43058;79281;85,7;26019;53262;9733;13181;14,4;931298
